time,d1,d2,d3,t_uwb_1,t_uwb_2,t_uwb_3,el1,el2,el3,x,y,x_kf,y_kf,x_true,y_true,vx,vy,vx_smooth,vy_smooth
0.363034935,6.46,1.53,9.76,0.007380071,0.021263321,0.137620962,6.378965433,1.140394669,9.706554487,0.898851607,1.017300496,0.868418886,1.114668107,1.027270508,1,0.040006058,-0.12827386,0.00391166,-0.082568665
0.368204658,6.46,1.53,9.76,0.012549794,0.026433044,0.142790685,6.378965433,1.140394669,9.706554487,0.898851607,1.017300496,0.868625176,1.114006676,1.027775319,1,-0.021673753,-0.055312546,-0.020289565,-0.056341327
0.373313706,6.46,1.53,9.86,0.017658842,0.031542092,0.003882688,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.868203535,1.1140908,1.028274206,1,-0.080686337,0.016099525,-0.044090722,-0.02718641
0.378601889,6.46,1.53,9.86,0.022947025,0.036830275,0.009170871,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.867786933,1.114173933,1.028790584,1,-0.079674545,0.015900698,-0.0675906,0.001562554
0.383713105,6.46,1.53,9.86,0.028058241,0.041941491,0.014282087,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.867375279,1.114256095,1.029289683,1,-0.078425033,0.015654132,-0.078597444,0.015688412
0.389050472,6.46,1.53,9.86,0.033395608,0.047278858,0.019619454,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.86696848,1.114337302,1.029810864,1,-0.077493331,0.01547096,-0.077601666,0.015492461
0.394157916,6.46,1.53,9.86,0.038503052,0.052386302,0.024726898,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.86656645,1.114417571,1.030309594,1,-0.076707972,0.015316742,-0.076905327,0.015356183
0.399483151,6.46,1.53,9.86,0.043828287,0.057711537,0.030052133,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.866169103,1.114496919,1.030829591,1,-0.075707447,0.015119774,-0.076254776,0.015228964
0.404599981,6.46,1.53,9.86,0.048945117,0.062828367,0.035168963,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.865776354,1.114575363,1.031329237,1,-0.076192851,0.015219308,-0.07557004,0.015094812
0.409733467,6.46,1.53,9.86,0.054078603,0.067961853,0.040302449,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.865388121,1.114652918,1.03183051,1,-0.075172281,0.015018039,-0.074867657,0.014957088
0.414870135,6.46,1.53,9.86,0.059215271,0.073098521,0.045439117,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.865004326,1.1147296,1.032332094,1,-0.074069649,0.0148002,-0.07398642,0.014783487
0.420038266,6.46,1.53,9.86,0.064383402,0.078266652,0.050607248,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.864624889,1.114805423,1.03283675,1,-0.073196057,0.014628122,-0.072872687,0.014563385
0.425179159,6.46,1.53,9.86,0.069524295,0.083407545,0.055748141,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.864249734,1.114880404,1.033338746,1,-0.071301263,0.014251766,-0.072068014,0.01440498
0.430511498,6.46,1.53,9.86,0.074856634,0.088739884,0.06108048,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.863878787,1.114954555,1.033859437,1,-0.070624188,0.014118799,-0.071191616,0.014232134
0.435631645,6.46,1.53,9.86,0.079976781,0.093860031,0.066200627,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.863511976,1.115027892,1.034359407,1,-0.071148915,0.014226016,-0.070362567,0.014068671
0.440765648,6.46,1.53,9.86,0.085110784,0.098994034,0.07133463,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.863149229,1.115100428,1.034860731,1,-0.069687658,0.013935969,-0.0698692,0.013972259
0.445987445,6.46,1.53,9.86,0.090332581,0.104215831,0.076556427,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.862790476,1.115172176,1.035370627,1,-0.069050812,0.013810805,-0.069341495,0.013868904
0.451100829,6.46,1.53,9.86,0.095445965,0.109329215,0.081669811,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.862435651,1.11524315,1.035869937,1,-0.068834426,0.013769708,-0.068573619,0.013717463
0.45624133,6.46,1.53,9.86,0.100586466,0.114469716,0.086810312,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.862084686,1.115313363,1.036371895,1,-0.067985666,0.013602024,-0.067954226,0.013595682
0.461369566,6.46,1.53,9.86,0.105714702,0.119597952,0.091938548,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.861737517,1.115382827,1.036872655,1,-0.067309535,0.013468807,-0.067317756,0.013470419
0.466501524,6.46,1.53,9.86,0.11084666,0.12472991,0.097070506,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.86139408,1.115451555,1.037373779,1,-0.066590693,0.013327068,-0.066430597,0.013294899
0.471629246,6.46,1.53,9.86,0.115974382,0.129857632,0.102198228,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.861054315,1.115519559,1.037874489,1,-0.065868462,0.013184489,-0.06379821,0.01477941
0.476763278,6.46,1.53,9.86,0.121108414,0.134991664,0.10733226,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.860718159,1.11558685,1.038375815,1,-0.064398628,0.012892106,-0.059601456,0.017893465
0.482018042,6.46,1.53,9.86,0.126363178,0.140246428,0.112587024,6.378965433,1.140394669,9.807099469,0.80612949,1.1266461,0.860385554,1.11565344,1.038888931,1,-0.054823733,0.021024581,-0.055459711,0.020980835
0.487148526,6.46,1.63,9.86,0.131493662,0.001499802,0.117717508,6.378965433,1.271416533,9.807099469,0.821063327,1.140508985,0.86014672,1.115803144,1.039389911,1,-0.046325767,0.029039082,-0.051373544,0.030037829
0.492275147,6.46,1.63,9.86,0.136620283,0.006626423,0.122844129,6.378965433,1.271416533,9.807099469,0.821063327,1.140508985,0.859910384,1.115951298,1.039890513,1,-0.045881967,0.028763916,-0.047473776,0.044997842
0.497396841,6.46,1.63,9.86,0.141741977,0.011748117,0.127965823,6.378965433,1.271416533,9.807099469,0.821063327,1.140508985,0.859676505,1.116097927,1.040390635,1,-0.045437622,0.058469462,-0.045267449,0.057899526
0.502516441,6.42,1.63,9.86,0.002963692,0.016867717,0.133085423,6.33845407,1.271416533,9.807099469,0.821063327,1.191823726,0.859445043,1.116549976,1.040890552,1,-0.04489979,0.08769217,-0.043579794,0.067726232
0.507654269,6.42,1.63,9.86,0.00810152,0.022005545,0.138223251,6.33845407,1.271416533,9.807099469,0.821063327,1.191823726,0.85921596,1.116997401,1.041392249,1,-0.043792098,0.085532999,-0.04096731,0.076438103
0.512930373,6.42,1.63,9.86,0.013377624,0.027281649,0.143499355,6.33845407,1.271416533,9.807099469,0.821063327,1.191823726,0.858989218,1.117440276,1.041907448,1,-0.03788749,0.078172614,-0.038383982,0.079078251
